*	5251			
สนมเอก	noun	1	royal chief concubine.	From สนม (sà-nǒm, “royal concubine”) + เอก (èek, “chief; first; first class; primary; etc”). Compare Modern Khmer ស្នំឯក (snâmʼékâ).
สนอง	verb	1	(1) to act, do, or happen in return, in consequence, or in opposition, such as to react, to counteract, to respond, to answer, to reply, to repay, to retribute, to requite, etc. (2) (of a demand, desire, purpose, etc) to fulfill; to meet; to serve.	From Old Khmer ស្នោង (snoṅa), ស្នង (snaṅa), ស្នង៑ (snaṅ), ស្នោង៑ (snoṅ, “exchange; reimbursement; repayment; replacement; representation; substitution; etc”); extended forms of សង (saṅa), សោង៑ (soṅ), សង៑ (saṅ, “to give back; to pay back; to replace; to return; to substitute; etc”).<br>Further extended as សំនោង៑ (saṃnoṅ), សំនង៑ (saṃnaṅ, “compensation; reimbursement; repayment; etc”), from which Thai สำนอง was derived.<br>Compare Modern Khmer ស្នង (snɑɑng), សង (sɑɑng), សំណង (sɑmnɔɔng).
สนาม	noun	1	field; ground.	From Old Khmer ស្នាំ (snāṃ, “imprint, impression, footprint, copy, mark, scar”). Cognate with Modern Khmer ស្នាម (snaam, “scar, mark, trace, impression; ground, field, platform”), Lao ສະໜາມ (sa nām).
สนิท	adj	1	(of personal relations) close; intimate.	From Pali siniddha (“gluey, sticky; smooth, sleek; lovely, pretty; etc”), ultimately from Sanskrit स्निग्ध (snigdha, “idem”), according to the Royal Institute Dictionary 2011; but more likely to be from Old Khmer ត្និត៑ (tnit, “close; intimate”) or from Sanskrit सनीड (sanīḍa, “close; closely united or related; etc”).<br>Compare Modern Khmer ស្និទ្ធ (snət, “close, intimate; beloved, dear”).
สนิท	adv	1	(1) closely; tightly; firmly; securely. (2) well: often used to describe the condition of being or becoming one. (3) completely, totally; only, solely.	From Pali siniddha (“gluey, sticky; smooth, sleek; lovely, pretty; etc”), ultimately from Sanskrit स्निग्ध (snigdha, “idem”), according to the Royal Institute Dictionary 2011; but more likely to be from Old Khmer ត្និត៑ (tnit, “close; intimate”) or from Sanskrit सनीड (sanīḍa, “close; closely united or related; etc”).<br>Compare Modern Khmer ស្និទ្ធ (snət, “close, intimate; beloved, dear”).
สนิม	noun	1	rust: oxide coating formed on iron or steel.	From Khmer ស្និម (snəm), ស្នឹម (snəm, “conflict; oxidation; rust”).
สนิม	noun	2	adornment; decoration; ornament.	From corruption of Old Khmer ថ្និំ (thniṃ), ត្និំ (tniṃ), ថ្ន្យំ (thnyaṃ, “regalia, finery, ornament worn by a god, sovereign, etc”).
สนุก	adj	1	pleasant; enjoyable; fun.	From Khmer ស្រណុក (srɑɑnok, “easy; comfortable; pleasant”).
สบง	noun	1	(Buddhism) skirt-like garment wrapped around the torso, being one of ไตรจีวร, the three robes priests are permitted to wear, the other two being จีวร, covering the upper part, and สังฆาฏิ, an outer cloak.	From Old Khmer spaṅa (“priest's underskirt”). Cognate with Modern Khmer ស្បង់ (sbɑng).
สบถ	verb	1	(1) (elegant) to swear; to vow; to pledge; to take an oath. (2) to swear: to use profane oaths or language.	From Pali sapatha (“oath; swearing”); possibly via Old Khmer spota, spot, spotta, spipāṭa, ssapāṭa, *śapatha (“to swear; to vow; to pledge; to take an oath”) or Angkorian Old Khmer śapatha, śapata, śapatta (idem). Cognate with Modern Khmer ស្បថ (sbɑt).
สบาย	adv	1	(1) well (in health); happy; comfortable. (2) (of a place) comfortable.	From Pali sappāya (“beneficial”), possibly via Middle Khmer សាបាយ (sāpāya, “good; fit; beneficial; wholesome; healthful; pleasant; agreeable; comfortable; at ease”); compare Sanskrit सभेय (sabheya, “decent; well-behaved”). Cognate with Khmer សប្បាយ (sapbaay), Lao ສະບາຍ (sa bāi).
สบู่	noun	2	soap.	Borrowed from Portuguese sabão (“soap”), perhaps via Hindi साबुन (sābun). Compare Lao ສະບູ່ (sa bū), Khmer សាប៊ូ (saabuu).
สปริง	noun	1	spring (device)	From English spring.
สปอร์	noun	1	spore.	From English spore.
สปอร์ต	adj	1	(slang) sporting: sportsmanlike, befitting a sportsman, as fair, generous, ungrudging, etc.	From English sport.
สปา	noun	1	spa.	From English spa.
สปาเกตตี	noun	1	spaghetti.	From English spaghetti, from Italian spaghetti.
สปีชีส์	noun	1	species.	From English species.
สฟิงซ์	name	1	Sphinx.	From English sphinx.
สฟิงซ์	noun	1	sphinx.	From English sphinx.
สภา	noun	1	(1) assembly; conference; convention; council; gathering; forum; meeting. (2) (archaic) court; tribunal. (3) (colloquial) Short for รัฐสภา (rát-tà-sà-paa).	From Pali sabhā (“assembly; congregation; convention; etc”) or Sanskrit सभा (sabhā, “assembly; meeting”), possibly via Old Khmer sabhā (“council, court of justice; member of a council or court; council chamber, tribunal”). Cognate with Middle Khmer subhā, sūbhā (“court; court of justice; member of a court: justice, judge; etc”), from which Thai สุภา (sù-paa, “court; judge”) was derived, and cognate with Northern Thai ᩈᨽᩣ, Lao ສະພາ (sa phā), Shan သၽႃး (sǎ pháá), and Modern Khmer សភា (saʼphiə), សុភា (sophiə).
สภาขุนนาง	name	1	House of Lords.	From สภา (sà-paa, “assembly; convention; council; etc”) + ขุนนาง (kǔn-naang, “noble”); literally "council of nobles"; calque of English House of Lords.
สภาคณาจารย์	noun	1	(education) faculty senate.	From สภา (sà-paa, “assembly; council; forum; etc”) + คณาจารย์ (ká-naa-jaan, “faculty”); calque of English faculty senate.
สภาบดี	noun	1	(elegant, literary) leader of an assembly, council, meeting, or gathering: chairperson, president, presiding officer, speaker, etc.	Learned borrowing from Sanskrit सभापति (sabhāpati); equivalent to สภา (sà-paa) + บดี (bɔɔ-dii). Compare Old Khmer sabhāpati (“president of a court of justice; chief justice”).
สภาพ	noun	1	state	From Pali sabhāva.
สภาล่าง	noun	1	lower house.	สภา (sà-paa, “assembly; council; forum; etc”) + ล่าง (lâang, “low; under”); calque of English lower house.
สภาสูง	noun	1	upper house.	สภา (sà-paa, “assembly; council; forum; etc”) + สูง (sǔung, “high”); calque of English upper house.
สม	adj	1	suitable; well matched; right	From Sanskrit सम (sama) or Pali sama. Cognate with Lao ສົມ (som), ສະມະ (sa ma), ສົມມະ (som ma). Doublet of เสมอ (sà-mə̌ə).
สมณ	noun	1	(elegant, chiefly in combination) Alternative form of สมณะ (sà-má-ná)	From Pali samaṇa (“ascetic; mendicant; recluse”, literally “one who calms (passion, evil, etc)”).
สมณสารูป	adj	1	(religion, elegant) befitting the priesthood.	From สมณ (sà-má-ná-, “priest”) + สารูป (“appropriate; suitable”); ultimately from Pali samaṇasāruppa (“lawful for a priest”), from samaṇa (“priest”) + sāruppa (“appropriate; suitable”).
สมณสารูป	noun	1	(religion, elegant) conduct, behaviour, or manner that befits the priesthood.	From สมณ (sà-má-ná-, “priest”) + สารูป (“appropriate; suitable”); ultimately from Pali samaṇasāruppa (“lawful for a priest”), from samaṇa (“priest”) + sāruppa (“appropriate; suitable”).
สมณะ	noun	1	(elegant) priest.	From Pali samaṇa (“ascetic; mendicant; recluse”, literally “one who calms (passion, evil, etc)”).
สมบัติ	noun	1	(1) royal office, dignity, or wealth. (2) fortune; wealth; property; possession. (3) property: essential or distinctive attribute or quality.	From Sanskrit सम्पत्ति (sampatti) or Pali sampatti (“happiness; prosperity; fortune; wealth”). Compare Old Khmer *sampatti, saṃmpata, °saṃpatta, °saṃpatti, °sampatta (“achievement, attainment; happiness, bliss, felicity”); Angkorian Old Khmer °saṃpatti; Modern Khmer សម្បត្តិ (sɑmbat); Lao ສົມບັດ (som bat).
สมบูรณ์	adj	1	(1) abundant; plentiful; rich. (2) complete; entire; full; whole; total; thorough; lacking nothing; missing nothing. (3) complete; absolute; without limit. (4) complete; concluded; ended; finished. (5) perfect; excellent; flawless; defectless. (6) ready; prepared. (7) healthy; athletic; hearty; of good health; doing well; fit; strong; robust. (8) fat; corpulent; stout.	Borrowed from Sanskrit सम्पूरण (sampūraṇa, literally “filling the stomach”); perhaps via Old Khmer saṃpūrṇa, saṃpūrṇna, saṃmpūrṇna, sampūra, saṃpūṇna, saṃpur (“complete, full; abundant, plentiful; etc”); equal to Thai สม (sǒm) + บูรณ์. Cognate with Lao ສົມບູນ (som būn), Northern Thai ᩈᩫᨾ᩠ᨷᩪᩁ᩠ᨱ᩺, Modern Khmer សម្បូណ៌, សម្បូរ (sɑmbou).
สมภพ	noun	1	(of a royal person) (พระบรมราช~, พระราช~) birth.	From Pali sambhava (“birth; semen; sperm”) or from Sanskrit सम्भव (sambhava, “birth; existence; sexual intercourse; union”) or संभव (saṃbhava, “birth; possibility”); perhaps via Old Khmer saṃbhabva (“birth”). Cognate with Modern Khmer សម្ភព (sɑmphup).
สมภพ	verb	1	(of a royal person) to be born; to be delivered.	From Pali sambhava (“birth; semen; sperm”) or from Sanskrit सम्भव (sambhava, “birth; existence; sexual intercourse; union”) or संभव (saṃbhava, “birth; possibility”); perhaps via Old Khmer saṃbhabva (“birth”). Cognate with Modern Khmer សម្ភព (sɑmphup).
สมภาร	noun	1	(1) (Buddhism) accumulated merits or virtues, prerequisite for becoming a buddha. (2) (of a monarch) (พระราช~) merit, virtue; authority, influence, domain of power, dominion, domination, jurisdiction. (3) (พระราช~) a term of address to a monarch, now often employed by a priest. (4) (now colloquial) abbot: ordained chief of a monastery.	From Pali sambhāra (literally “to bring together”) or Sanskrit सम्भार (sambhāra, literally “to bring together; to collect”); perhaps via Old Khmer saṃbhāra, °saṃmbhāra (“conditions prerequisite to enlightenment, especially the accumulation of merit; collection, accumulation; provision, materials, necessaries, requisites, equipment; property, wealth; etc”). Cognate with Thai สัมภาระ (sǎm-paa-rá); Modern Khmer សម្ភារ (sɑɑsɑmphiə).
สมภาร	pron	1	(พระราช~) a second person or third person pronoun used to address a monarch, now often employed by a priest.	From Pali sambhāra (literally “to bring together”) or Sanskrit सम्भार (sambhāra, literally “to bring together; to collect”); perhaps via Old Khmer saṃbhāra, °saṃmbhāra (“conditions prerequisite to enlightenment, especially the accumulation of merit; collection, accumulation; provision, materials, necessaries, requisites, equipment; property, wealth; etc”). Cognate with Thai สัมภาระ (sǎm-paa-rá); Modern Khmer សម្ភារ (sɑɑsɑmphiə).
สมรภูมิ	noun	1	(elegant) battleground; battlefield; theatre of war; seat of war.	สมร (“fight; battle; war”) + ภูมิ (puum, “ground”). Compare Khmer សមរភូមិ (saʼmaʼraʼ phuum).
สมรส	noun	1	(formal) marriage.	From Sanskrit समरस (samarasa, literally “to have equal feelings; to share the same feelings”).
สมรส	verb	1	(formal) to marry.	From Sanskrit समरस (samarasa, literally “to have equal feelings; to share the same feelings”).
สมอ	noun	1	(1) (archaic) rock; stone. (2) (nautical) (classifier ตัว) anchor.	From corruption of ถมอ, from Pre-Angkorian Old Khmer tmo, thmo, or Angkorian Old Khmer thmo, thma, tmo (“rock; stone”). Cognate with Modern Khmer ថ្ម (thmɑɑ) and Lao ສະມໍ (sa mǭ). Possibly related to ตะม่อ / ตอม่อ.
สมอ	noun	2	(1) (botany) Terminalia. (2) (botany) boll.	From Old Khmer or Pre-Angkorian Old Khmer *smo, sramo (“Terminalia”). Cognate with Modern Khmer ស្រម៉ (srɑɑm), សម៉ (saʼmɑɑ).
สมอง	noun	1	(1) (anatomy) brain. (2) (figurative, metonymically) head; intelligence; brains.	From Khmer ខ្មង (khmɑɑng, “marrow (of a bone)”).

สมองไหล	noun	1	brain drain.	From สมอง (sà-mɔ̌ɔng, “brain”) + ไหล (lǎi, “to drain; to flow out”); possibly a calque of English brain drain.
สมัชชาใหญ่แห่งสหประชาชาติ	name	1	United Nations General Assembly.	From สมัชชาใหญ่ (sà-mát-chaa-yài, “general assembly; general conference; general meeting; etc.”) + แห่ง (hɛ̀ng, “of”) + สหประชาชาติ (sà-hà-brà-chaa-câat, “United Nations”), a calque of English United Nations General Assembly.
สมัน	noun	1	Schomburgk's deer (Rucervus schomburgki)	Compare Khmer ស្មាន់ (sman), Burmese သမင် (sa.mang).
สมัย	noun	1	(1) time. (2) era.	From Sanskrit समय (samaya, “time”). Cognate with Lao ສະໄໝ (sa mai).
สมาคม	noun	1	association; organisation; society.	From Sanskrit समागम (samāgama, “association”) or Pali samāgama (“idem”).<br>Compare Lao ສະມາຄົມ (sa mā khom), Northern Thai ᩈᨾᩣᨣᩫ᩠ᨾ.
สมาคม	verb	1	to associate; to mix with.	From Sanskrit समागम (samāgama, “association”) or Pali samāgama (“idem”).<br>Compare Lao ສະມາຄົມ (sa mā khom), Northern Thai ᩈᨾᩣᨣᩫ᩠ᨾ.
สมาชิก	noun	1	(1) member (2) (mathematics) element	From Sanskrit सामाजिक (sāmājika, “member of assembly”) or Pali sāmājika (“member of assembly”). Cognate with Khmer សមាជិក (saʼmaacɨk), Lao ສະມາຊິກ (sa mā sik).
สมาชิกรัฐสภา	noun	1	member of a national legislature: member of a parliament, member of a diet, member of a congress, etc.	From สมาชิก (sà-maa-chík, “member”) + รัฐสภา (rát-tà-sà-paa, “national legislature: parliament, diet, congress, etc”); calque of English Member of Parliament.
สมาทาน	verb	1	(elegant, of religious precepts, moral principles, etc) to undertake; to commit (oneself to); to vow (oneself to).	From Pali samādāna (“taking upon oneself”), from sama (“same; equal; corresponding; etc”) + ādāna (“taking; assuming; accepting etc”); ultimately from Sanskrit समादान (samādāna, “idem”), from सम (sama) + आदान (ādāna); possibly via Old Khmer *samādāna (“to undertake; to take upon or take to (oneself)”); equivalent to Thai สม (sà-má-) + อาทาน.
สมาธิ	noun	1	(1) concentration. (2) meditation. (3) samadhi.	Borrowed from Sanskrit समाधि (samādhi, “concentration of mind”). Compare Burmese သမာဓိ (sa.madhi.), Lao ສະມາທິ (sa mā thi).
สมาร์ตโฟน	noun	1	smartphone.	From English smartphone.
สมาส	noun	1	(linguistics) compound word made by joining two or more Pali/Sanskrit loanwords without vowel gliding.	From Sanskrit समास (samāsa, “compound; fusion”) or Pali samāsa (“compound; fusion”).
สมิง	noun	1	(1) (เสือ~) a type of evil spirit in Thai folklore, believed to be a person that turns into a tiger by the power of black magic or a tiger that can transform itself into a human due to being possessed by the ghosts of its human preys. (2) (historical) an honorific given to Mon senior nobles.	From Mon သၟီ (“king; prince”). Cognate with Burmese သမိန် (sa.min).
สมี	noun	1	(1) (Buddhism and archaic) an honorary for or term of address to a priest. (2) (Buddhism and derogatory) a title for or term of address to a priest convicted of the gravest indiscipline.	Uncertain. Possibly from Pali sāmī (“chief, lord, master; a courtesy title for a man: mister, signor, etc”) and cognate with Thai สามี (sǎa-mii).
สมี	noun	2	(botany) Egyptian riverhemp: the plant Sesbania sesban of the family Leguminosae, whose leaves are traditionally used in fire worship rites.	From Sanskrit शमी (śamī, “śamī tree: Prosopis cineraria”).
สมุด	noun	1	(1) notebook. (2) (dated) book.	Compare Burmese စာအုပ် (caup, “book”); Cognate with Lao ສະມຸດ (sa mut), Northern Thai ᩈ᩠ᨾ᩻ᩩᨯ, ᩈ᩠ᨾᩩᨯ.
สมุดบันทึก	noun	1	notebook.	From สมุด (sà-mùt, “book”) + บันทึก (ban-tʉ́k, “to record”); perhaps calque of English notebook.
สมุทร	noun	1	(1) sea. (2) (mythology, theology) sea god. (3) (figurative) the sea itself.	Learned borrowing from Sanskrit समुद्र (samudra, “sea”). Cognate with Old Khmer samudra, sramaddha; Modern Khmer សមុទ្រ (saʼmot). Compare Pali samudda; Modern Khmer សមុទ្ទ (saʼmot).
สมุห	noun	1	group; collection.	From Sanskrit समूह (samūha, “multitude, collection, assemblage, aggregate; flock, troop”) or Pali samūha (“multitude; mass; aggregation”).
สมเด็จ	noun	1	an honorific for or term of address to gods, priests, royal persons, and noble persons.	From Old Khmer សំតេច៑ (saṃtec), សំតច៑ (saṃtac), សំតាច៑ (saṃtāc), សម្តាច្ច៑ (samtacc, “condition of being supreme in status and power”). Cognate with Modern Khmer សម្ដេច (sɑmdac).
สมเด็จพระ	noun	1	an honorific given to a god, priest, royal person, or noble person.	From สมเด็จ (sǒm-dèt) + พระ (prá). Equivalent to Old Khmer saṃtec (literally “condition of being supreme in status and power”) + bra (literally “distinguished; divine; excellent; holy; sacred; superior; etc”). Compare Modern Khmer សម្តេចព្រះ (sɑɑmtəcprĕəh).
สมเด็จเจ้าพระยา	noun	1	(1) the highest Thai noble rank. (2) person holding such rank.	From สมเด็จ (sǒm-dèt) + เจ้าพระยา (jâao-prá-yaa). Compare Khmer សម្ដេចចៅពញា (sɑɑmdəccawpñiə).
สมเพช	verb	1	to take pity on.	From Pali saṃvejana, from Sanskrit संवेजन् (saṃvejan). Doublet of สังเวช.
สมโภช	noun	1	(1) banquet; feast. (2) (formal) celebration.	From Pali sambhoja (“eating together”). Compare Sanskrit सम्भोजन (sambhojana, “eating together”).
สยาม	name	1	(historical) (ประเทศ~, ~ประเทศ, ~รัฐ, ราชอาณาจักร~) Siam.	Possibly from Old Khmer សៀម (siama) (whence Modern Khmer សៀម (siəm), ស្យាម (syaam), Mon သေမ်, သေံ), or from Min Nan 暹 (siam) (as in 暹羅／暹罗 (Siam-lô)), becoming *เสียม (sǐiam). And later, the spelling was meant to imitate Sanskrit श्याम (śyāma) which did not relate at all.<br>Officially used as the name of the country from the reign of Mongkut (1851–68) until 24 June 1939, when the country was renamed ไทย (tai, “Thailand”).
สรง	verb	1	(1) (of a god, priest, or royal person) to take a bath. (2) (of a sacred object, as a religious image, relic, etc) to bathe for cleansing; to cleanse with water.	From Old Khmer sroṅ, sraṅ (“to bathe; to cleanse with water; to wash; etc”). Cognate with Modern Khmer ស្រង់ (srɑng).
สรณังกร	name	1	(Buddhism) Saraṇaṅkara, one of the ancient Buddhas.	From Pali saraṇaṅkara.
สรท	noun	1	(chiefly in combination) Alternative form of สารท (sàat)	From Pali sarada (“autumn”).
สรทะ	noun	1	Alternative form of สารท (sàat)	From Pali sarada (“autumn”). Cognate with Modern Khmer សរទៈ (saʼraʼtĕəʼ).
สรภัญญะ	noun	1	(religion) intoning (a particular mode of recitation allowable to monks), a form of Buddhist chant.	From Pali sarabhañña.
สรรค์	verb	1	(elegant) to bring into existence; to create; to produce; to erect; to build.	From Sanskrit सर्ग (sarga, “creation of the world; primary creation; etc”). Cognate with Khmer សគ៌ៈ.
สรรพ	adj	1	all; whole; entire.	From Sanskrit सर्व (sarva, “all, every; whole, entire; etc.”). Cognate with Khmer សព្វ (sɑp), Lao ສັບພະ (sap pha).
สรรพ	adv	1	whole; totally; entirely.	From Sanskrit सर्व (sarva, “all, every; whole, entire; etc.”). Cognate with Khmer សព្វ (sɑp), Lao ສັບພະ (sap pha).
สรรพนาม	noun	1	(grammar) (คำ~) pronoun.	From Sanskrit सर्वनामन् (sarvanāman, “pronoun”). Equivalent to สรรพ (sàp, “all; entire; whole; every”) + นาม (naam, “name; noun”).
สรรเสริญ	noun	1	(elegant) glory; eulogy; laud; praise.	From Old Khmer sarasera (“to commend; to eulogise; to laud; to praise”). Cognate with Modern Khmer សរសើរ (sɑɑsaə).
สรรเสริญ	verb	1	(elegant) to glorify; to eulogise; to laud; to praise.	From Old Khmer sarasera (“to commend; to eulogise; to laud; to praise”). Cognate with Modern Khmer សរសើរ (sɑɑsaə).
สรวล	noun	1	(of gods, high priests, or royal persons) (พระ~) laugh; smile.	From Khmer ស្រួល (sruəl, “easy, simple, comfortable; to laugh”); ultimately from Western Cham srual (“to amuse; to diverse”). Extended as Khmer សំរួល (sɑmruəl), from which Thai สำรวล derives.
สรวล	verb	1	(elegant, chiefly used of gods, high priests, or royal persons) to laugh; to smile.	From Khmer ស្រួល (sruəl, “easy, simple, comfortable; to laugh”); ultimately from Western Cham srual (“to amuse; to diverse”). Extended as Khmer សំរួល (sɑmruəl), from which Thai สำรวล derives.
สระ	clas	1	Classifier for ponds.	From Pali sara (“pond”). Compare Sanskrit सरस् (saras, “pond”).
สระ	noun	1	pond; pool of water.	From Pali sara (“pond”). Compare Sanskrit सरस् (saras, “pond”).
สระ	noun	2	vowel (sound or letter).	From Pali sara (“vowel”). Compare Sanskrit स्वर (svara, “vowel”).
สระ	noun	3	sound; voice (in general).	From Pali sara (“sound”). Compare Sanskrit स्वर (svara, “sound”).
สรีสฤบ	noun	1	(1) (elegant) snake. (2) (elegant) reptile: any crawling or creeping animal.	From Sanskrit सरीसृप (sarīsṛpa, “crawling, creeping; creeping animal; snake”); perhaps via Old Khmer sarisṛp (“crawling or creeping thing: worm, snake, reptile”). Cognate with Modern Khmer សរីស្រឹប (sɑɑriisrəp). Compare Pali siriṅsapa.
สรุป	noun	1	conclusion; summarization.	From Khmer សរុប (saʼrop) or សរូប (sɑɑsɑruup), from Pali sarūpa.
สรุป	verb	1	to conclude; to summarize.	From Khmer សរុប (saʼrop) or សរូប (sɑɑsɑruup), from Pali sarūpa.
สรเสริญ	verb	1	(chiefly poetic) Alternative form of สรรเสริญ (sǎn-sə̌ən)	Probably from Angkorian Old Khmer srasir, sarsir, sarser (“to compose; to inscribe; to write”), doublets of sarasera (“to commend; to eulogise; to laud; to praise”), from which Thai สรรเสริญ (sǎn-sə̌ən) was derived.
สร้าง	verb	1	to bring into being: to build, to construct, to create, to make, etc.	Cognate with Northern Thai ᩈ᩶ᩣ᩠ᨦ, Lao ສ້າງ (sāng), Khün ᩈ᩶ᩣ᩠ᨦ, Lü ᦉᦱᧂᧉ (ṡaang²), Shan သၢင်ႈ (sāāng), Ahom ??? (saṅ). Compare Khmer សាង (saang), Mon သြိုၚ်.
สลบ	verb	1	(1) to faint; to loss consciousness; to swoon. (2) to cause to loss consciousness; to put to sleep.	Probably from Old Khmer sanlapa (“to faint, to loss consciousness, to swoon; to cause to loss consciousness, to put to sleep”). Cognate with Modern Khmer សន្លប់ (sɑɑsɑnlɑp), ស្រឡប់ (srɑɑlɑp), ស្លប (slɑɑp).
สลอธ	noun	1	(zoology) sloth.	From English sloth.
สละ	noun	1	quill (of porcupine or hedgehog).	From Pali sala.
สละ	noun	2	salak, Salacca zalacca.	From Malay salak.
สลัก	noun	1	(1) movable bar or rod that when slid into a socket fastens a door, gate, window, etc. (2) strong fastening rod, pin, or screw, usually threaded to receive a nut.	Uncertain. Probably from Malay sĕlak (“door bolt”).
สลัก	verb	1	(somewhat archaic) to bar; to obstruct; to prevent.	Uncertain. Probably from Malay sĕlak (“door bolt”).
สลัก	verb	2	to carve; to chisel; to engrave; to incise.	Uncertain. Probably from corruption of ฉลัก (chà-làk), from Old Khmer chlak, chlâka (“to carve; to chisel; to engrave; to incise”), corresponding to Modern Khmer ឆ្លាក់ (chlak).
สลัด	noun	1	salad: tossed greens.	From English salad.
สลัด	noun	2	pirate: sea robber.	From Malay selat (“strait: narrow water channel”).
สลัม	noun	1	slum	From English slum.
สลาก	noun	1	(1) (archaic) tag; label; slip; ticket. (2) lot: piece of paper or other object drawn for deciding a question or choice by chance. (3) (colloquial) lottery ticket.	From Khmer ស្លាក (slaak, “label; ticket; lottery ticket; etc”), from Pali salākā (“ticket; coupon; etc”). Compare Sanskrit शलाका (śalākā), and compare Khmer ឆ្លាក (chlaak), from which Thai ฉลาก (chà-làak) is derived.
สลาฟ	adj	1	Slavic; Slav	From English Slav.
สลิป	noun	1	slip (as in pay slip, etc.).	From English slip.
สลิปเปอร์	noun	1	slipper	From English slipper.
สลึง	noun	1	(1) a Thai unit of currency, equal to 25 satangs or ¹⁄₄ of a baht. (2) a Thai unit of gold weight, equal to 3.75 grams.	From Old Khmer sliṅ (“unidentified weight”). Cognate with Modern Khmer ស្លឹង (sləng).
สลุต	noun	1	(military) salute: discharge of a gun as a sign of respect or celebration.	From English salute.
สลุบ	noun	1	sloop	Borrowed from English sloop, from Dutch sloep.
สวด	verb	1	(1) (of a mantra, a religious formula, etc) to recite; to chant; to intone. (2) (slang) to scold; to lecture.	From Old Khmer svat (“to recite; to chant; to intone”). Cognate with Modern Khmer សូត្រ (sout), សូធ្យ (southyɔɔ).
สวน	noun	1	(1) park; garden; orchard; plantation. (2) zoo (with some particular kinds of animal).	From Proto-Tai *swɯːnᴬ (“garden”). Compare Middle Chinese 園 (MC ɦʉɐn, “garden”). Cognate with Northern Thai ᩈ᩠ᩅᩁ, Lao ສວນ (sūan), Lü ᦷᦉᧃ (ṡon), Shan သူၼ် (sǔǔn), Ahom ???? (sun), Zhuang suen.
สวนสนุก	noun	1	amusement park.	Calque of English amusement park. Same as สวน (sǔuan, “park”) + สนุก (sà-nùk, “amusing”).
สวมเขา	verb	1	(idiomatic) to put horns on; to cuckold.	From สวม (sǔuam, “to put on”) + เขา (kǎo, “horn”); possibly calque of English put horns on. Compare Vietnamese cắm sừng.
สวย	adj	1	(1) beautiful. (2) (of rice) perfectly steamed; well steamed.	Cognate with Lao ສວຍ (suāi). Compare Min Nan 媠 (súi).<br>Jonsson (1991) suggested it was from Proto-Southwestern Tai *suəjᴬ¹ (“handsome; slender”) but most of SWT languages do not have words for it.
สวรรคต	verb	1	(used of a high-ranking royal person, as a monarch, consort, crown prince, etc) to die.	Borrowed from Sanskrit स्वर्गगत (svargagata, literally “gone to heaven”). Related to สวรรค์ (sà-wǎn). Compare Lao ສະຫວັນລະຄົດ (sa wan la khot).
สวรรคบดี	name	1	(Hinduism, Buddhism) an epithet of the god Indra.	From Sanskrit स्वर्गपति (svargapati, literally “chief of heaven”), from स्वर्ग (svarga, “heaven”) + पति (pati, “chief; lord; master”); equivalent to Thai สวรรค (swàk) + บดี (bɔɔ-dii).
สวรรค์	noun	1	(1) sky; heaven; abode of gods. (2) paradise; place or state of supreme happiness. (3) a dish of pieces of meat that are soaked in a potion containing coriander seeds, cumin, minced garlic, salt, soy sauce, sugar, and others, and are sun-dried before being fried.	Learned borrowing from Sanskrit स्वर्ग (svarga). Compare Pali sagga. Cognate with Lao ສະຫວັນ (sa wan), Lü ᩈ᩠ᩅᩢᩁ᩠ᨣ᩺, Northern Thai ᩈ᩠ᩅᩢᩁ᩠ᨣ᩺.
สวรรค์ชั้นเจ็ด	noun	1	(slang) orgasm.	From สวรรค์ (sà-wǎn, “heaven”) + ชั้น (chán, “class; degree; level”) + เจ็ด (jèt, “seven”); literally "seventh level of heaven"; possibly calque of English seventh heaven.
สวะ	adj	1	(1) (colloquial) bad; useless (2) (colloquial) plenty	Compare Pali chava (“corpse; bad”).
สวะ	noun	1	floating weeds.	Compare Pali chava (“corpse; bad”).
สวัสดี	intj	1	(1) used to express a good wish or blessing. (2) used to express a greeting or farewell, answer a telephone, or attract attention.	From Sanskrit स्वस्ति (svasti, “welfare, well-being; blessing; prosperity; success; etc”); probably via Old Khmer svasti, svāsti (“interjection used as opening benediction: well-being! good fortune!”). Cognate with Northern Thai ᩈ᩠ᩅᩢᩔ᩠ᨯᩦ, Modern Khmer សួស្តី (suəsdəy). Compare Pali sotthi, from which Thai โสตถิ is derived.<br>The use of this term as a greeting or farewell was initiated at the Faculty of Arts, Chulalongkorn University, by Phraya Uppakit Sinlapasan (Nim Kanchanachiwa) in 2476 BE (1933/34 CE), and was officially ordained by the nationalist government of Field Marshall Plaek Phibunsongkhram on 22 January 2486 BE (1944 CE).
สวัสดี	noun	1	(elegant) welfare, well-being; prosperity, success; security, safety; goodness, virtue, moral excellence.	From Sanskrit स्वस्ति (svasti, “welfare, well-being; blessing; prosperity; success; etc”); probably via Old Khmer svasti, svāsti (“interjection used as opening benediction: well-being! good fortune!”). Cognate with Northern Thai ᩈ᩠ᩅᩢᩔ᩠ᨯᩦ, Modern Khmer សួស្តី (suəsdəy). Compare Pali sotthi, from which Thai โสตถิ is derived.<br>The use of this term as a greeting or farewell was initiated at the Faculty of Arts, Chulalongkorn University, by Phraya Uppakit Sinlapasan (Nim Kanchanachiwa) in 2476 BE (1933/34 CE), and was officially ordained by the nationalist government of Field Marshall Plaek Phibunsongkhram on 22 January 2486 BE (1944 CE).
